@RELATION reviews-de

@ATTRIBUTE hasPicture             NUMERIC
@ATTRIBUTE hasVideo               NUMERIC
@ATTRIBUTE isPurchaseVerified     NUMERIC
@ATTRIBUTE length                 NUMERIC
@ATTRIBUTE rating                 NUMERIC
@ATTRIBUTE sentimentAnalysis      NUMERIC
@ATTRIBUTE sentimentRatingOffset  NUMERIC
@ATTRIBUTE consecutiveCaps        NUMERIC
@ATTRIBUTE consecutivePeriods     NUMERIC
@ATTRIBUTE consCapsTextRatio      NUMERIC
@ATTRIBUTE consPeriodsTextRatio   NUMERIC
@ATTRIBUTE distinctWordRatio      NUMERIC
@ATTRIBUTE averageWordLength      NUMERIC
@ATTRIBUTE numberOfLineBreaks     NUMERIC
@ATTRIBUTE numberOfQuestionMarks  NUMERIC
@ATTRIBUTE numberOfExclMarks      NUMERIC
@ATTRIBUTE lineBreakTextRatio     NUMERIC
@ATTRIBUTE punctuationLetterRatio NUMERIC
@ATTRIBUTE persona                {Expert,Rager,Euphoric,Complainer,WaitingForMrPerfect,BeatingAroundTheBush,NoDemands}

@DATA
0,0,1,161,3,1,3,14,0,0.09395973154362416,0.0,0.7777777777777778,5.518518518518518,4,0,1,0.14814814814814814,0.037037037037037035,Complainer
0,0,1,1710,3,5,7,0,0,0.0,0.0,0.7038461538461539,6.45,11,0,1,0.04230769230769231,0.0038461538461538464,WaitingForMrPerfect
0,0,1,484,3,1,3,0,0,0.0,0.0,0.863013698630137,6.383561643835616,6,0,1,0.0821917808219178,0.0136986301369863,Complainer
0,0,1,494,5,5,5,5,0,0.01037344398340249,0.0,0.9264705882352942,7.088235294117647,4,0,11,0.058823529411764705,0.16176470588235295,Euphoric
1,0,1,601,5,5,5,0,0,0.0,0.0,0.8111111111111111,6.677777777777778,0,0,0,0.0,0.0,Euphoric
0,0,1,355,4,2,3,0,0,0.0,0.0,0.9215686274509803,6.901960784313726,1,0,0,0.0196078431372549,0.0,Expert
0,0,1,342,1,1,5,0,0,0.0,0.0,0.8571428571428571,6.107142857142857,0,0,0,0.0,0.0,Rager
0,0,1,118,1,1,5,0,0,0.0,0.0,1.0,6.9411764705882355,0,0,0,0.0,0.0,Rager
1,0,1,76,1,3,7,0,0,0.0,0.0,1.0,7.6,0,0,0,0.0,0.0,Complainer
0,0,1,426,5,5,5,0,0,0.0,0.0,0.8732394366197183,5.830985915492958,4,0,0,0.056338028169014086,0.0,NoDemands
0,0,1,585,2,5,8,0,0,0.0,0.0,0.8681318681318682,6.395604395604396,1,1,0,0.01098901098901099,0.01098901098901099,WaitingForMrPerfect
0,0,1,381,1,3,7,0,0,0.0,0.0,0.7903225806451613,6.0,3,0,0,0.04838709677419355,0.0,WaitingForMrPerfect
1,0,1,473,4,5,6,0,0,0.0,0.0,0.8333333333333334,5.641025641025641,11,0,0,0.14102564102564102,0.0,Expert
0,0,1,239,4,5,6,0,0,0.0,0.0,1.0,7.466666666666667,5,0,0,0.16666666666666666,0.0,WaitingForMrPerfect
0,0,1,238,3,5,7,0,0,0.0,0.0,0.918918918918919,6.1891891891891895,3,0,0,0.08108108108108109,0.0,WaitingForMrPerfect
1,0,1,1053,5,5,5,0,0,0.0,0.0,0.8,6.98,2,0,0,0.013333333333333334,0.0,Expert
1,0,1,1055,4,5,6,0,0,0.0,0.0,0.7290322580645161,6.496774193548387,16,0,0,0.1032258064516129,0.0,Expert
0,0,1,76,5,5,5,0,0,0.0,0.0,1.0,7.6,0,0,4,0.0,0.4,Euphoric
0,0,1,92,4,5,6,0,0,0.0,0.0,0.9333333333333333,5.933333333333334,1,0,0,0.06666666666666667,0.0,WaitingForMrPerfect
0,0,1,4546,4,5,6,0,0,0.0,0.0,0.5342066957787481,6.477438136826783,32,0,0,0.046579330422125184,0.0,Expert
0,0,1,435,3,4,6,0,0,0.0,0.0,0.9375,6.796875,0,0,0,0.0,0.0,WaitingForMrPerfect
0,0,0,378,1,1,5,0,0,0.0,0.0,0.828125,5.90625,0,0,0,0.0,0.0,Complainer
0,0,1,19,3,5,7,0,0,0.0,0.0,1.0,6.333333333333333,0,0,0,0.0,0.0,WaitingForMrPerfect
1,0,1,1592,1,5,9,1,0,6.353240152477764E-4,0.0,0.7207207207207207,7.09009009009009,6,0,3,0.02702702702702703,0.013513513513513514,BeatingAroundTheBush
0,0,1,358,1,3,7,0,3,0.0,0.008595988538681949,0.9019607843137255,6.8431372549019605,3,0,0,0.058823529411764705,0.0,Complainer
0,0,1,2147,1,1,5,8,10,0.0037629350893697085,0.004703668861712135,0.7284345047923323,6.792332268370607,7,7,2,0.022364217252396165,0.02875399361022364,Rager
0,0,1,337,1,1,5,0,0,0.0,0.0,0.9512195121951219,8.146341463414634,1,0,0,0.024390243902439025,0.0,Complainer
0,0,1,863,1,5,9,0,0,0.0,0.0,0.7596899224806202,6.689922480620155,0,1,0,0.0,0.007751937984496124,BeatingAroundTheBush
1,0,1,929,3,2,4,1,0,0.001076426264800861,0.0,0.7769784172661871,6.683453237410072,0,0,0,0.0,0.0,Expert
0,0,1,721,3,5,7,4,0,0.005594405594405594,0.0,0.8037383177570093,6.682242990654205,2,1,0,0.018691588785046728,0.009345794392523364,WaitingForMrPerfect
1,0,1,1547,3,5,7,3,0,0.0019430051813471502,0.0,0.7583333333333333,6.433333333333334,1,0,3,0.004166666666666667,0.0125,BeatingAroundTheBush
0,0,1,368,5,5,5,0,0,0.0,0.0,0.8888888888888888,6.814814814814815,0,0,0,0.0,0.0,Euphoric
0,0,1,8210,3,5,7,11,2,0.001358695652173913,2.4703557312252963E-4,0.5308333333333334,6.746666666666667,38,5,5,0.03166666666666667,0.008333333333333333,Expert
0,0,1,599,5,5,5,0,0,0.0,0.0,0.7653061224489796,5.959183673469388,5,0,1,0.05102040816326531,0.01020408163265306,Euphoric
0,0,1,550,1,5,9,0,4,0.0,0.007561436672967864,0.8111111111111111,5.877777777777778,7,0,0,0.07777777777777778,0.0,WaitingForMrPerfect
1,1,1,3402,5,5,5,4,0,0.0011883541295306002,0.0,0.5819209039548022,6.338983050847458,12,0,0,0.022598870056497175,0.0,Expert
0,1,1,445,5,1,1,0,0,0.0,0.0,0.921875,6.859375,2,0,0,0.03125,0.0,NoDemands
0,0,1,7143,5,5,5,42,0,0.005998286203941731,0.0,0.4965986394557823,6.80466472303207,47,0,0,0.0456754130223518,0.0,Expert
0,0,1,664,3,4,6,0,0,0.0,0.0,0.7628865979381443,6.752577319587629,3,0,3,0.030927835051546393,0.030927835051546393,Expert
0,0,1,882,3,5,7,0,0,0.0,0.0,0.8174603174603174,6.571428571428571,18,0,0,0.14285714285714285,0.0,Expert
0,1,1,755,5,5,5,0,0,0.0,0.0,0.8686868686868687,7.444444444444445,6,0,0,0.06060606060606061,0.0,Euphoric
